timestamp,open,high,low,close,volume
1767355200000,0.3605,0.3647,0.358,0.3642,34820120.0
1767358800000,0.3642,0.3659,0.363,0.3644,27473627.0
1767362400000,0.3644,0.3707,0.3606,0.3682,79390791.0
1767366000000,0.3681,0.3745,0.3649,0.3716,70459021.0
1767369600000,0.3715,0.3892,0.3715,0.389,119560767.0
1767373200000,0.3889,0.3936,0.3866,0.3887,95440845.0
1767376800000,0.3887,0.3895,0.3804,0.3819,60740763.0
1767380400000,0.3818,0.389,0.3814,0.3884,45229945.0
1767384000000,0.3884,0.3892,0.3845,0.3858,30899172.0
1767387600000,0.3859,0.3915,0.3857,0.3904,26466263.0
1767391200000,0.3904,0.3963,0.3895,0.3946,47624122.0
1767394800000,0.3945,0.396,0.3925,0.3948,27382864.0
1767398400000,0.3948,0.3991,0.3946,0.3947,41508881.0
1767402000000,0.3946,0.3962,0.3925,0.3937,22660985.0
1767405600000,0.3938,0.397,0.3912,0.3965,23123772.0
1767409200000,0.3964,0.3988,0.3938,0.3982,26182035.0
1767412800000,0.3982,0.3988,0.3959,0.3972,20041095.0
1767416400000,0.3972,0.3984,0.3921,0.3929,27367508.0
1767420000000,0.3928,0.3952,0.3893,0.3906,35704471.0
1767423600000,0.3906,0.3919,0.383,0.3842,61840976.0
1767427200000,0.3841,0.388,0.3826,0.3866,31596871.0
1767430800000,0.3865,0.3889,0.3855,0.3873,19293340.0
1767434400000,0.3874,0.3874,0.3847,0.3851,17719938.0
1767438000000,0.3852,0.3855,0.3834,0.3843,13706691.0
1767441600000,0.3843,0.3869,0.3834,0.3866,25521244.0
1767445200000,0.3866,0.3874,0.3853,0.3871,15749709.0
1767448800000,0.3871,0.3909,0.3863,0.3867,34947545.0
1767452400000,0.3868,0.3877,0.3856,0.3861,18712047.0
1767456000000,0.3861,0.3885,0.3854,0.3874,20250748.0
1767459600000,0.3874,0.3886,0.3864,0.3879,9833354.0
1767463200000,0.388,0.3897,0.3867,0.3892,13199218.0
1767466800000,0.3892,0.3892,0.3876,0.3884,8498875.0
1767470400000,0.3884,0.3887,0.3856,0.3881,16425833.0
1767474000000,0.3881,0.3904,0.3871,0.3888,15550432.0
1767477600000,0.3888,0.3908,0.3878,0.3895,10049838.0
1767481200000,0.3895,0.3901,0.3886,0.3893,8792525.0
1767484800000,0.3893,0.396,0.3886,0.3949,46573251.0
1767488400000,0.3949,0.3949,0.3913,0.394,21592959.0
1767492000000,0.394,0.3956,0.3926,0.3936,15294325.0
1767495600000,0.3936,0.4002,0.3934,0.3994,41454838.0
1767499200000,0.3994,0.4019,0.3967,0.3976,45918549.0
1767502800000,0.3976,0.3991,0.3956,0.3982,21044609.0
1767506400000,0.3983,0.3992,0.3936,0.3943,30346493.0
1767510000000,0.3943,0.3973,0.3938,0.3959,22706657.0
1767513600000,0.396,0.3987,0.3923,0.398,32055572.0
1767517200000,0.3981,0.4036,0.3963,0.403,36357949.0
1767520800000,0.403,0.4054,0.4021,0.4031,37571622.0
1767524400000,0.4032,0.4032,0.3989,0.401,25274375.0
1767528000000,0.401,0.4043,0.4002,0.4011,36600669.0
1767531600000,0.4011,0.4012,0.3971,0.3998,22564482.0
1767535200000,0.3997,0.4007,0.3957,0.3985,27924126.0
1767538800000,0.3985,0.3992,0.3961,0.3986,15316651.0
1767542400000,0.3987,0.4027,0.3981,0.4023,18553370.0
1767546000000,0.4023,0.4042,0.4007,0.4029,24752496.0
1767549600000,0.403,0.4035,0.3982,0.4006,20364428.0
1767553200000,0.4005,0.4005,0.3952,0.3986,30112743.0
1767556800000,0.3985,0.4016,0.398,0.3991,13341580.0
1767560400000,0.3991,0.4017,0.3967,0.3986,21658551.0
1767564000000,0.3985,0.4014,0.3975,0.3984,14686513.0
1767567600000,0.3985,0.4025,0.398,0.4004,17528196.0
1767571200000,0.4004,0.4032,0.3976,0.4015,34587831.0
1767574800000,0.4016,0.4078,0.4006,0.406,57395460.0
1767578400000,0.406,0.4072,0.4008,0.4041,31583906.0
1767582000000,0.4041,0.4053,0.4019,0.403,16427314.0
1767585600000,0.403,0.4034,0.3936,0.3972,40904025.0
1767589200000,0.3972,0.4007,0.3961,0.3978,21274164.0
1767592800000,0.3978,0.3999,0.3953,0.3995,21809512.0
1767596400000,0.3994,0.4026,0.3986,0.4008,25778298.0
1767600000000,0.4008,0.4039,0.3982,0.3982,28139780.0
1767603600000,0.3983,0.3993,0.3955,0.3962,33563719.0
1767607200000,0.3962,0.4001,0.3958,0.3978,27283823.0
1767610800000,0.3977,0.3997,0.3963,0.3996,14697321.0
1767614400000,0.3996,0.4018,0.3982,0.4005,20975511.0
1767618000000,0.4006,0.4018,0.3966,0.3982,34477945.0
1767621600000,0.3983,0.4083,0.3971,0.4035,67090458.0
1767625200000,0.4035,0.4142,0.4008,0.4126,90759954.0
1767628800000,0.4125,0.4164,0.4112,0.4128,71550749.0
1767632400000,0.4128,0.4146,0.4066,0.4135,63637503.0
1767636000000,0.4136,0.4194,0.412,0.4186,65638773.0
1767639600000,0.4185,0.4195,0.415,0.4173,49250719.0
1767643200000,0.4172,0.4238,0.4167,0.4187,58503651.0
1767646800000,0.4187,0.4221,0.4177,0.4212,27327820.0
1767650400000,0.4211,0.4248,0.4184,0.4231,30308022.0
1767654000000,0.4231,0.4249,0.4207,0.4209,26899943.0
1767657600000,0.4208,0.4243,0.4175,0.4239,41334414.0
1767661200000,0.4238,0.4307,0.4228,0.4239,58567356.0
1767664800000,0.4239,0.4296,0.4236,0.4247,34280493.0
1767668400000,0.4247,0.4277,0.4237,0.4255,21474586.0
1767672000000,0.4256,0.4268,0.4232,0.4243,24444329.0
1767675600000,0.4243,0.4255,0.4214,0.4226,29095196.0
1767679200000,0.4226,0.4256,0.4201,0.4231,32120539.0
1767682800000,0.4231,0.4233,0.4135,0.4146,53968628.0
1767686400000,0.4147,0.4181,0.4146,0.4158,22151360.0
1767690000000,0.4157,0.4184,0.4152,0.4174,17716266.0
1767693600000,0.4175,0.4201,0.4163,0.4188,19331062.0
1767697200000,0.4188,0.4223,0.418,0.4219,25738693.0
1767700800000,0.4219,0.424,0.4209,0.4223,25635431.0
1767704400000,0.4224,0.4249,0.4204,0.4219,31893131.0
1767708000000,0.4219,0.4373,0.4219,0.4272,148958349.0
1767711600000,0.4271,0.43,0.4172,0.4199,92757878.0
1767715200000,0.4198,0.4209,0.4058,0.4099,106883271.0
