timestamp,open,high,low,close,volume
1767294000000,79.01,79.43,78.98,79.41,42319.646
1767297600000,79.41,79.63,79.3,79.45,56289.472
1767301200000,79.46,79.64,79.23,79.61,46625.243
1767304800000,79.61,79.89,79.49,79.85,33987.341
1767308400000,79.86,80.0,79.62,79.92,58952.613
1767312000000,79.92,80.0,79.51,79.67,60347.185
1767315600000,79.66,79.75,79.03,79.36,61440.785
1767319200000,79.36,79.5,79.15,79.47,26405.955
1767322800000,79.47,80.32,79.41,80.12,74532.793
1767326400000,80.13,80.25,79.61,79.67,35951.487
1767330000000,79.68,79.84,79.47,79.81,26818.099
1767333600000,79.82,79.89,79.41,79.42,50638.262
1767337200000,79.42,79.51,79.16,79.29,37984.135
1767340800000,79.28,79.56,79.25,79.47,46992.409
1767344400000,79.48,80.53,79.4,80.22,92280.829
1767348000000,80.23,80.51,79.65,79.97,98532.921
1767351600000,79.98,79.98,79.4,79.63,51396.776
1767355200000,79.63,80.23,79.6,80.1,45877.573
1767358800000,80.09,80.25,79.89,80.02,46498.733
1767362400000,80.01,81.16,79.6,80.49,150297.178
1767366000000,80.48,80.75,79.78,80.51,99197.897
1767369600000,80.5,81.48,80.4,81.48,161366.714
1767373200000,81.47,81.6,80.78,81.25,115814.371
1767376800000,81.25,81.53,80.82,81.12,51931.947
1767380400000,81.12,81.33,81.04,81.27,31778.346
1767384000000,81.27,81.42,80.96,81.16,50084.208
1767387600000,81.16,81.8,81.16,81.78,57365.383
1767391200000,81.78,82.21,81.73,82.07,60700.674
1767394800000,82.06,82.08,81.72,81.88,54583.486
1767398400000,81.88,82.23,81.83,82.01,34587.458
1767402000000,82.0,82.53,81.98,82.5,40716.381
1767405600000,82.51,82.79,82.06,82.65,47648.062
1767409200000,82.65,82.7,82.07,82.64,54081.709
1767412800000,82.65,82.65,82.36,82.44,42543.989
1767416400000,82.45,82.64,81.91,82.52,74327.997
1767420000000,82.51,82.78,81.92,82.22,49736.375
1767423600000,82.21,82.36,80.97,81.33,137858.204
1767427200000,81.32,81.82,81.21,81.3,150061.725
1767430800000,81.3,81.61,81.22,81.36,52812.033
1767434400000,81.37,81.75,81.11,81.4,82034.472
1767438000000,81.4,81.42,81.13,81.35,43253.364
1767441600000,81.35,81.6,81.19,81.52,26901.282
1767445200000,81.52,81.91,81.44,81.78,47676.491
1767448800000,81.79,81.9,80.71,81.19,85358.219
1767452400000,81.2,81.38,80.98,81.21,53875.788
1767456000000,81.21,82.05,81.12,81.93,43200.934
1767459600000,81.94,82.32,81.85,82.19,39264.369
1767463200000,82.2,82.51,82.08,82.37,39804.673
1767466800000,82.37,82.37,82.14,82.19,15937.254
1767470400000,82.2,82.39,81.88,82.3,24240.778
1767474000000,82.31,82.44,82.1,82.13,27391.114
1767477600000,82.13,82.49,82.04,82.35,15740.665
1767481200000,82.36,82.4,81.99,82.04,19516.07
1767484800000,82.04,82.75,81.91,82.45,70198.265
1767488400000,82.45,82.51,81.98,82.23,35450.829
1767492000000,82.22,82.31,82.01,82.14,26041.773
1767495600000,82.14,82.64,82.1,82.48,43704.836
1767499200000,82.49,82.68,82.36,82.39,27365.423
1767502800000,82.39,82.53,82.18,82.51,25193.266
1767506400000,82.51,82.8,82.03,82.15,56808.286
1767510000000,82.16,82.42,82.02,82.15,37980.052
1767513600000,82.16,82.17,81.68,82.11,59585.39
1767517200000,82.12,82.69,81.97,82.5,49489.123
1767520800000,82.5,82.68,82.27,82.27,55012.196
1767524400000,82.27,82.53,82.06,82.5,40581.198
1767528000000,82.5,83.05,82.32,82.57,83162.321
1767531600000,82.56,82.64,82.07,82.62,46457.544
1767535200000,82.62,82.77,82.11,82.26,95937.033
1767538800000,82.26,82.74,82.18,82.63,46510.15
1767542400000,82.62,83.15,82.56,82.96,59494.08
1767546000000,82.96,83.02,82.58,82.85,44488.201
1767549600000,82.86,82.95,82.13,82.43,57229.236
1767553200000,82.43,82.43,81.57,82.13,79529.003
1767556800000,82.12,82.25,81.99,82.12,21278.933
1767560400000,82.11,82.41,81.71,81.94,33398.444
1767564000000,81.93,82.12,81.77,81.98,20465.909
1767567600000,81.98,82.4,81.92,82.2,32941.957
1767571200000,82.21,82.93,82.13,82.72,76580.868
1767574800000,82.73,83.55,82.54,83.25,105782.741
1767578400000,83.26,83.6,82.14,82.4,147993.38
1767582000000,82.39,82.63,82.25,82.57,71253.789
1767585600000,82.58,82.73,81.39,81.96,127776.813
1767589200000,81.95,82.16,81.66,81.7,50790.802
1767592800000,81.69,82.23,81.45,82.09,76484.399
1767596400000,82.09,82.49,81.92,82.35,39569.0
1767600000000,82.35,82.47,81.89,82.14,37771.716
1767603600000,82.15,82.19,81.69,81.83,52920.703
1767607200000,81.84,82.2,81.55,81.65,56178.478
1767610800000,81.65,82.05,81.57,81.98,30692.004
1767614400000,81.98,82.12,81.58,81.97,50708.5
1767618000000,81.98,82.12,81.58,81.86,49162.625
1767621600000,81.85,82.9,81.64,82.73,158536.682
1767625200000,82.73,83.63,82.62,83.39,176849.972
1767628800000,83.39,83.61,82.77,82.89,90251.091
1767632400000,82.9,83.4,82.03,83.29,123182.058
1767636000000,83.29,83.83,82.95,83.78,89326.351
1767639600000,83.78,84.1,83.45,83.64,121203.053
1767643200000,83.65,84.57,83.58,83.91,102618.944
1767646800000,83.9,84.01,83.48,83.66,40311.58
1767650400000,83.66,84.23,83.55,84.02,59031.787
1767654000000,84.02,84.03,83.42,83.42,44744.001
1767657600000,83.42,83.7,82.77,83.62,73904.136
1767661200000,83.62,84.09,83.27,83.34,61165.053
1767664800000,83.34,83.76,83.22,83.52,32878.53
1767668400000,83.52,83.97,83.5,83.79,28935.398
1767672000000,83.8,83.94,83.46,83.63,45287.288
1767675600000,83.63,83.76,83.31,83.36,31823.124
1767679200000,83.36,83.96,83.29,83.65,62386.017
1767682800000,83.66,83.72,82.76,83.02,65463.698
1767686400000,83.02,83.3,82.92,82.99,44533.412
1767690000000,82.99,83.29,82.9,83.03,28674.445
1767693600000,83.03,83.25,82.87,83.19,37564.505
1767697200000,83.2,83.77,83.11,83.75,45168.427
1767700800000,83.76,84.32,83.71,84.2,63731.72
1767704400000,84.21,84.33,83.73,83.87,67907.575
1767708000000,83.88,84.85,83.55,83.93,218036.39
1767711600000,83.92,84.47,83.18,83.49,161553.859
1767715200000,83.49,83.57,81.84,82.57,201883.998
1767718800000,82.56,82.91,81.16,81.36,168770.747
1767722400000,81.35,82.55,81.12,82.48,80397.413
1767726000000,82.47,82.76,82.34,82.41,38806.216
1767729600000,82.4,82.97,82.4,82.7,49848.458
1767733200000,82.71,84.1,82.56,83.74,96204.647
1767736800000,83.74,83.93,83.38,83.61,35319.185
1767740400000,83.62,84.08,83.57,83.93,37565.919
1767744000000,83.93,83.95,82.89,82.94,61724.279
1767747600000,82.94,83.19,82.65,82.82,47159.842
1767751200000,82.82,83.56,82.65,83.56,45862.179
1767754800000,83.56,83.72,83.21,83.27,29914.67
1767758400000,83.27,83.52,83.1,83.15,26323.989
1767762000000,83.16,83.29,82.89,82.94,29599.748
1767765600000,82.95,83.14,82.8,82.81,21487.577
1767769200000,82.82,83.59,82.82,83.46,41307.083
1767772800000,83.46,83.91,83.26,83.79,70672.952
1767776400000,83.79,83.83,82.52,82.75,126207.647
1767780000000,82.75,82.98,82.56,82.72,51882.754
1767783600000,82.72,82.83,82.57,82.72,30623.965
1767787200000,82.71,82.75,82.02,82.59,112044.807
1767790800000,82.59,82.86,82.32,82.44,47697.826
1767794400000,82.45,82.46,81.22,82.19,198503.617
1767798000000,82.2,82.21,81.22,81.51,115199.041
1767801600000,81.51,81.89,81.11,81.48,84255.984
1767805200000,81.49,81.9,81.3,81.4,40862.267
1767808800000,81.41,81.78,81.15,81.39,49242.504
1767812400000,81.38,81.61,80.88,81.42,102538.195
1767816000000,81.42,81.57,81.13,81.34,30442.729
1767819600000,81.33,81.57,81.32,81.45,19606.871
